plot,trt,level,year,rep,f.LAI.soy,f.LAI.rag,f.LAI.ratio,f.rTDM.m2,s.LAI.soy,s.LAI.rag,s.LAI.ratio,s.rTDM.m2,t.LAI.soy,t.LAI.rag,t.LAI.ratio,t.rTDM.m2,l.LAI.soy,l.LAI.rag,l.LAI.ratio,l.rTDM.m2,ADJrhd,ADJrhd.m2,grams.20ft,H2O,ADJ_yield,YL
204,5,0,2016,2,0.72,0.36,0.34,43.79,2.98,0.32,0.1,41.25,2.5,1.62,0.39,456.63,2.2,1.03,0.32,454.36,8.53,11.1942318,490.6,14.5,482.14,0.7567
105,5,0,2016,1,0.47,0.1,0.17,14.27,2.3,0.59,0.2,60.77,3.59,2.69,0.43,716.98,2.9,1.51,0.34,402.57,7.71,10.11811573,525.6,20.4,480.89,0.7799
113,5,100,2016,1,0.46,0.07,0.14,10.7,1.66,1.12,0.4,66.62,3.21,2.18,0.4,582.09,2.08,2,0.49,724.24,7.71,10.11811573,440,12.5,442.53,0.7832
411,4,0,2016,4,0.87,0.12,0.12,10.76,2.62,0.59,0.18,45.97,2.44,1.55,0.39,321.43,1.82,1.1,0.38,278.65,6.23,8.175857454,506.8,21.9,454.95,0.7848
313,5,0,2016,3,0.42,0.19,0.31,27.56,1.8,0.5,0.22,73.93,2.56,1.52,0.37,360.68,1.26,2.32,0.65,1010.86,12.14,15.93176717,415,12,419.77,0.7863
214,5,100,2016,2,0.71,0.18,0.2,45.4,2.82,1.66,0.37,94.76,3.59,2.66,0.43,420.41,1.85,2.94,0.61,913.27,9.51,12.48032173,402.2,14.8,393.88,0.7911
211,4,100,2016,2,1.03,0.15,0.13,21.7,2.02,2.84,0.58,82.61,3.49,1.35,0.28,388.18,4.72,0.86,0.15,525.64,6.07,7.965883587,374.6,11.6,380.63,0.7981
404,4,100,2016,4,1,0.13,0.12,15.81,3.24,1.02,0.24,75.94,3.05,0.66,0.18,229.8,2.18,0.3,0.12,287.79,5.58,7.322838619,382.2,12,386.59,0.821
206,5,50,2016,2,0.53,0.15,0.22,16.21,2.06,0.89,0.3,58.39,2.26,2.22,0.5,506.53,1.1,2.59,0.7,921.7,12.14,15.93176717,279,12.8,279.64,0.8546
110,5,50,2016,1,0.6,0.1,0.14,7.14,2.49,0.85,0.26,64.6,3.78,1.97,0.34,302.22,1.96,2.36,0.55,442.63,7.87,10.32808959,289.4,14,286.07,0.8591
309,5,50,2016,3,0.72,0.27,0.27,53.08,1.09,1.16,0.52,92.02,3.33,2.28,0.41,469.06,2.27,1.5,0.4,926.3,10.33,13.5564378,268,13,268,0.8742
407,5,50,2016,4,0.6,0.25,0.29,40.72,2.71,1.18,0.3,133.33,1.92,2.15,0.53,510.5,1.23,1.91,0.61,852.66,10.17,13.34646393,259.4,13,259.4,0.8763
305,5,100,2016,3,0.4,0.09,0.18,10.57,2.26,1.19,0.34,166.82,1.79,2.45,0.58,659.23,2.22,1.61,0.42,1355.89,10.01,13.13649007,223,12,225.56,0.8944
412,5,0,2016,4,0.91,0.2,0.18,28.89,1.6,1.1,0.41,65.25,1.49,0.73,0.33,192.43,0.89,2.63,0.75,577.89,12.3,16.14174104,209,13,209,0.9011
402,5,100,2016,4,0.65,0.21,0.24,36.09,2.28,1.79,0.44,213.23,2.88,1.87,0.39,444.84,1.64,1.27,0.44,771.67,10.99,14.42258,170.6,13,170.6,0.921
103,1,0,2016,1,0,0.05,1,8.14,0,0.36,1,39.39,0,2.15,1,322.88,0,2.4,1,619.55,2,2.62467334,0,0,0,1
203,1,0,2016,2,0,0.03,1,3.88,0,0.93,1,80.04,0,2.36,1,400.47,0,0.87,1,480.31,2,2.62467334,0,0,0,1
315,1,0,2016,3,0,0.05,1,9.19,0,0.68,1,80.93,0,3.03,1,507.74,0,2.5,1,777.3,2,2.62467334,0,0,0,1
414,1,0,2016,4,0,0.07,1,9.14,0,0.57,1,54.55,0,2.37,1,344.62,0,4.26,1,1235.3,2,2.62467334,0,0,0,1
106,1,50,2016,1,0,0.05,1,9.23,0,0.42,1,43.9,0,2.63,1,518.96,0,2.41,1,818.77,2,2.62467334,0,0,0,1
209,1,50,2016,2,0,0.03,1,5.46,0,0.86,1,65.25,0,2.17,1,452.62,0,0.57,1,150.39,2,2.62467334,0,0,0,1
306,1,50,2016,3,0,0.03,1,5.11,0,0.32,1,29.68,0,0.86,1,150.26,0,4.72,1,271.39,2,2.62467334,0,0,0,1
410,1,50,2016,4,0,0.03,1,5.07,0,0.75,1,68.44,0,2.22,1,370.87,0,2.68,1,697.11,2,2.62467334,0,0,0,1
112,1,100,2016,1,0,0.04,1,4.21,0,1.03,1,70.58,0,3.01,1,429.27,0,1.15,1,558.92,2,2.62467334,0,0,0,1
213,1,100,2016,2,0,0.1,1,16,0,0.6,1,50.87,0,1.71,1,271.01,0,2.86,1,918.24,2,2.62467334,0,0,0,1
302,1,100,2016,3,0,0.03,1,3.91,0,0.62,1,66.52,0,1.58,1,337.59,0,1.33,1,444.36,2,2.62467334,0,0,0,1
403,1,100,2016,4,0,0.06,1,6.72,0,0.91,1,77.14,0,3.58,1,763.39,0,1.95,1,939.9,2,2.62467334,0,0,0,1
